('1975', ('133470', 36.1))
('1992', ('123250', 35.4))
('1994', ('102210', 34.7))
('2010', ('102190', 34.4))
('2014', ('108320', 34.4))
('1989', ('133260', 33.9))
('1982', ('123250', 33.8))
('1968', ('112080', 33.7))
('1966', ('133470', 33.5))
('2002', ('108320', 33.3))
('1983', ('112080', 33.3))
('1986', ('102200', 33.2))
('1970', ('112080', 33.2))
('1956', ('123480', 33.0))
('2000', ('133470', 33.0))
('1959', ('123480', 32.8))
('2006', ('123250', 32.7))
('1991', ('112080', 32.7))
('1988', ('133260', 32.6))
('2011', ('123340', 32.5))
('1999', ('112170', 32.4))
('1953', ('134110', 32.2))
('1973', ('133470', 32.2))
('2003', ('123250', 32.2))
('2007', ('123250', 32.2))
('1955', ('102190', 32.2))
('2008', ('102190', 32.2))
('2005', ('133470', 32.1))
('1979', ('123250', 32.0))
('1969', ('112080', 32.0))
('2001', ('133470', 31.9))
('1997', ('102210', 31.8))
('1977', ('102190', 31.8))
('2013', ('123340', 31.6))
('2009', ('123340', 31.5))
('2012', ('108320', 31.3))
('1972', ('102190', 31.2))
('1971', ('133470', 31.2))
('1964', ('124020', 31.2))
('1976', ('133470', 31.1))
('1961', ('133630', 31.0))
('1963', ('133630', 31.0))
('1995', ('123250', 30.8))
('1958', ('134110', 30.8))
('1996', ('102210', 30.8))
('1978', ('112080', 30.8))
('1974', ('102190', 30.6))
('1954', ('124020', 30.5))
('1952', ('103090', 30.4))
('1980', ('102190', 30.4))
('1990', ('123250', 30.2))
('2004', ('108320', 30.2))
('1957', ('102190', 29.8))
('1985', ('112080', 29.8))
('1981', ('102200', 29.7))
('1993', ('112080', 29.7))
('1987', ('133260', 29.6))
('1967', ('133470', 29.5))
('1984', ('102200', 29.5))
('1960', ('134110', 29.4))
('1950', ('103090', 29.4))
('1998', ('133260', 29.2))
('1965', ('133630', 28.5))
('1951', ('108640', 28.5))
('1962', ('102190', 27.4))

