('1966', ('108640', -49.4))
('1999', ('123250', -49.0))
('1978', ('123480', -47.7))
('1987', ('112080', -47.3))
('1967', ('108640', -45.4))
('1980', ('133470', -45.0))
('1956', ('102190', -45.0))
('1971', ('112080', -44.3))
('1986', ('133260', -44.2))
('1979', ('102190', -44.0))
('1981', ('133470', -44.0))
('2001', ('108320', -44.0))
('1965', ('108640', -44.0))
('1959', ('102190', -43.6))
('1985', ('123250', -43.4))
('1958', ('108640', -43.0))
('2012', ('123340', -42.7))
('1998', ('112170', -42.7))
('2014', ('123340', -42.5))
('1977', ('133470', -42.5))
('2002', ('123250', -42.2))
('1982', ('102200', -42.2))
('1976', ('112080', -42.2))
('1950', ('134110', -42.0))
('1962', ('133630', -42.0))
('1951', ('124020', -42.0))
('1968', ('123480', -42.0))
('2011', ('102190', -42.0))
('1996', ('133260', -41.7))
('2010', ('133250', -41.7))
('1969', ('123480', -41.5))
('2003', ('102190', -41.5))
('1955', ('134110', -41.2))
('1963', ('108640', -41.0))
('2013', ('102170', -40.7))
('2007', ('102190', -40.7))
('2006', ('102190', -40.6))
('1994', ('133260', -40.5))
('1997', ('133260', -40.2))
('1960', ('108640', -40.0))
('1988', ('112080', -39.9))
('2004', ('123250', -39.7))
('1970', ('123480', -39.6))
('1964', ('102190', -39.5))
('1961', ('108640', -39.5))
('2005', ('108320', -39.4))
('2008', ('133250', -39.3))
('1991', ('123250', -39.3))
('1973', ('112080', -39.3))
('1984', ('133260', -39.2))
('1993', ('123250', -39.0))
('2009', ('102190', -38.5))
('1953', ('108640', -38.4))
('1989', ('112080', -38.2))
('1983', ('123250', -38.2))
('1957', ('134110', -37.8))
('2000', ('108320', -37.6))
('1995', ('102210', -37.6))
('1972', ('133470', -37.5))
('1975', ('112080', -37.0))
('1992', ('102210', -36.1))
('1954', ('103090', -36.0))
('1974', ('133470', -35.6))
('1952', ('134110', -35.5))
('1990', ('102210', -35.0))

